Country,Region,Education and skills,Jobs,Income,Safety,Health,Environment,Civic engagement,Accessiblity to services,Housing,Community,Life satisfaction,Overall
Netherlands,Gelderland,6.61,9.22,4.22,8.97,7.35,5,8.52,9.67,8.45,8.49,8.89,7.76
Netherlands,Flevoland,6.51,8.5,4.12,8.97,8.11,4.77,7.78,10,7.3,9.88,7.41,7.58
Netherlands,Utrecht,7.86,9.44,4.77,9.77,7.85,4.91,8.83,10,7.87,8.13,8.89,8.03
Netherlands,North Holland,7.45,9.25,4.79,9.77,7.51,5.18,8.23,10,7.87,8.29,8.89,7.93
Netherlands,South Holland,7.09,8.52,4.38,9.77,7.47,4.72,7.89,10,7.87,9,8.89,7.78
Netherlands,Zeeland,6.56,9.58,4.24,9.77,7.69,4.17,8.11,9.67,9.02,7.45,10,7.84
Netherlands,North Brabant,6.7,9.51,4.37,9.66,7.31,4.72,8.11,10,9.02,9.04,8.89,7.94
Netherlands,Limburg,6.47,8.89,4.15,9.66,7.12,4.77,7.49,10,9.6,8.01,8.15,7.66
Norway,Oslo Region,8.11,8.92,5.97,9.43,8.2,9.08,7.99,9.67,4.89,8.76,9.26,8.21
Norway,Hedmark and Oppland,7.36,9.18,4.94,10,6.62,9.72,7.13,8.83,7.01,8.76,8.52,8.01
Norway,South-Eastern Norway,7.18,8.35,5.05,9.77,7.15,9.17,7.08,9.5,6.61,9.24,9.26,8.03
Norway,Agder and Rogaland,7.63,8.33,5.25,9.89,7.74,8.76,7.35,9.5,6.26,8.21,9.26,8.02
Norway,Western Norway,8,8.9,5.22,10,8.42,9.63,7.7,9,6.38,8.69,8.89,8.26
Norway,Trøndelag,8,9.31,5.15,9.66,7.76,9.59,7.43,8.5,6.26,9.76,9.63,8.28
Norway,Northern Norway,7.04,8.92,5.12,10,6.95,8.76,6.69,9.67,6.49,7.41,8.89,7.81
New Zealand,Northland,1.76,6.06,4.17,9.08,5.76,10,6.69,3.67,7.87,8.37,8.89,6.57
New Zealand,Auckland,5.28,7.75,4.66,8.97,8.67,9.04,6.94,7,6.15,8.73,7.78,7.36
New Zealand,Waikato,3.17,8.15,3.9,9.43,7.41,9.68,7.39,5.5,7.87,9.8,7.78,7.28
New Zealand,Bay of Plenty,2.6,7.96,3.79,9.66,7.42,10,8.11,5.17,7.87,9.32,8.15,7.28
New Zealand,Gisborne,2.44,7.47,3.26,8.05,1.97,10,8.21,5,7.3,9.76,8.52,6.54
New Zealand,Hawke's Bay,2.44,7.97,,10,6.66,9.22,8.21,5,7.87,8.53,8.52,7.44
New Zealand,Taranaki,2.1,8.28,3.84,9.43,6.32,9.91,7.97,5.17,8.45,10,8.15,7.24
New Zealand,Manawatu-Wanganui,2.82,8.14,3.12,10,5.23,10,8.19,4.67,8.45,9.2,7.41,7.02
New Zealand,Wellington,5.53,8.77,4.9,9.77,7.74,9.54,8.6,7,7.3,8.61,7.41,7.74
New Zealand,Tasman-Nelson-Marl.,3.26,9.27,3.52,10,6.86,10,8.58,6.17,7.87,9.24,8.52,7.57
New Zealand,West Coast,3.26,9.07,,10,3.09,10,8.38,6.17,6.72,8.73,9.26,7.47
New Zealand,Canterbury,3.73,9.36,4.05,9.43,7.9,8.44,8.23,6.17,7.87,9.8,7.78,7.52
New Zealand,Otago,3.94,8.61,4.04,8.85,7.4,9.59,8.44,5.83,6.72,9.36,9.63,7.49
New Zealand,Southland,1.5,9.17,3.12,10,5.5,9.45,7.86,6.33,7.87,9.92,8.52,7.2
Poland,Lódzkie,9.68,7.3,2.58,9.2,1.7,0.05,2.01,5.67,0.57,7.13,2.59,4.41
Poland,Mazowieckie,10,7.46,3.23,8.97,3.89,0.96,3.47,6.67,0.75,7.57,2.96,5.08
Poland,Malopolskie,10,6.68,2.39,9.89,4.76,0.32,2.69,6.5,0.11,7.85,2.59,4.89
Poland,Slaskie,10,6.59,3.01,8.74,2.77,0,2.14,6,0.52,7.01,2.59,4.49
Poland,Lubelskie,9.63,5.36,2.05,8.51,3.59,1.79,1.48,6,0.23,8.76,2.22,4.51
Poland,Podkarpackie,10,4.69,1.87,9.66,4.71,2.06,1.77,7.5,0,8.76,1.11,4.74
Poland,Swietokrzyskie,9.63,5.52,2.12,9.43,3.23,0.83,1.03,4.75,0,7.21,1.11,4.08
Poland,Podlaskie,9.57,6.27,1.98,9.43,3.89,3.21,1.09,5.5,0.75,8.09,2.59,4.76
Poland,Wielkopolskie,9.96,7.81,2.67,9.77,3.19,2.02,1.72,6.67,0.29,7.97,3.33,5.04
Poland,Zachodniopomorskie,9.47,6.05,2.46,8.62,3.13,4.5,0.84,6.17,0.57,8.33,5.56,5.06
Poland,Lubuskie,9.64,6.7,2.21,7.24,2.77,3.44,0.57,5.67,0.52,6.25,2.96,4.36
Poland,Dolnoslaskie,10,6.49,2.71,8.39,3.13,1.74,1.56,6.5,0.8,5.94,3.33,4.6
Poland,Opolskie,9.75,6.47,2.3,9.54,3.69,0,0.27,5.83,0.75,6.49,2.59,4.34
Poland,Kujawsko-Pomorskie,9.71,5.98,2.17,9.2,3.18,2.25,0.94,5.5,0.06,8.05,2.96,4.55
Poland,Warminsko-Mazurskie,9.11,4.83,2.08,8.62,2.41,3.35,0.1,5.33,0.06,7.89,3.33,4.28
Poland,Pomorskie,9.75,6.95,2.45,9.43,3.74,4.13,2.07,7.17,0.29,6.61,3.7,5.12
Portugal,North,1.48,6.39,2.55,10,7.74,7.94,3.29,6,5.29,5.54,0.74,5.18
Portugal,Algarve,2.25,7.59,3.32,8.16,5.81,8.49,1.97,5.83,5.46,4.54,0.37,4.89
Portugal,Central Portugal,1.73,7.37,2.76,9.54,7.26,7.29,2.83,5.67,6.67,6.02,0,5.19
Portugal,Lisbon,4.31,6.94,3.79,9.43,7.89,8.35,3.76,7.83,5.29,6.25,1.11,5.9
Portugal,Alentejo,1.62,6.75,2.84,9.54,6.46,8.72,3.33,4.67,6.38,3.15,1.11,4.96
Portugal,Azores,0.27,5.53,3.13,9.54,3.41,10,0,7.67,4.94,7.57,1.11,4.83
Portugal,Madeira,0.86,5.36,2.91,9.08,4.26,9.36,1.46,7.17,4.02,4.14,0.37,4.45
Sweden,Stockholm,8.38,8.99,5.55,9.2,8.62,7.57,9.01,9.67,3.59,7.89,8.52,7.91
Sweden,East Middle Sweden,8.07,7.8,4.52,9.31,7.89,7.43,9.18,9.17,4.53,8.05,8.15,7.65
Sweden,Småland with Islands,7.75,8.87,4.51,10,8.05,6.97,9.24,8.5,5.76,8.41,9.26,7.94
Sweden,South Sweden,8.27,7.45,4.63,8.97,7.88,6.33,8.75,8.67,4.39,8.53,8.89,7.52
Sweden,West Sweden,8.06,8.9,4.82,9.66,7.96,7.89,9.03,9.33,4.68,8.57,8.52,7.95
Sweden,North Middle Sweden,7.86,8.2,4.47,9.66,7.48,8.72,9.06,8.33,5.24,8.88,8.15,7.82
Sweden,Central Norrland,8.27,9.07,4.49,10,6.69,9.27,9.03,10,5.05,6.93,8.52,7.94
Sweden,Upper Norrland,8.54,9.06,4.55,9.54,7.42,8.85,9.12,9.83,4.79,7.61,8.52,7.98
Slovenia,Eastern Slovenia,9.06,7.45,3.01,9.77,5.64,3.58,1.56,7.67,2.94,7.97,2.96,5.6
Slovenia,Western Slovenia,9.29,7.9,3.2,9.66,8.03,2.98,2.75,7,2.94,8.09,4.07,5.99
Slovak Republic,Bratislava Region,10,9.3,4.43,7.82,3.56,1.79,5.05,7.67,0.98,6.49,5.19,5.66
Slovak Republic,West Slovakia,9.89,7.92,2.48,8.39,1.86,1.56,3.78,6.33,1.09,6.22,3.7,4.84
Slovak Republic,Central Slovakia,9.59,6.3,2.51,9.08,1.75,2.43,4,6.5,0.98,7.77,3.33,4.93
Slovak Republic,East Slovakia,9.32,4.76,2.16,9.43,2.27,2.52,2.73,7.33,0.57,7.61,3.33,4.73
Turkey,Istanbul,2.16,2.73,1.18,8.16,3.99,3.03,9.53,4.17,2.13,2.15,0,3.56
Turkey,Thrace,0.82,4.88,0.89,8.62,2.66,4.45,9.49,4.17,3.1,0,2.59,3.79
Turkey,Southern Marmara - West,0.68,4.44,0.72,7.47,2.7,3.85,9.63,0.5,3.97,4.3,1.11,3.58
Turkey,Izmir,1.94,2.2,1,7.7,3.99,2.06,9.51,3.17,3.45,0.84,0.37,3.29
Turkey,Southern Aegean,0.02,4.83,0.73,7.24,4.61,2.52,9.51,0.17,2.99,2.63,0,3.2
Turkey,Northern Aegean,0,4.63,0.7,6.9,2.43,2.98,9.9,0,2.99,1.04,1.11,2.97
Turkey,Eastern Marmara - South ,1.75,3.44,0.99,7.93,2.91,3.3,9.75,2.83,2.7,3.19,4.44,3.93
Turkey,Eastern Marmara - North,1.34,3.14,0.83,8.05,3.23,4.04,9.77,2.67,1.95,4.18,1.11,3.66
Turkey,Ankara,3.8,3.05,1.43,8.28,4.69,0.96,9.82,2.83,3.56,3.94,2.59,4.09
Turkey,Central Anatolia - West and South,0,4.08,0.65,7.59,3.68,0.64,9.67,0.33,2.64,2.11,1.85,3.02
Turkey,Mediterranean region - West,1.32,3.05,0.9,8.16,4.94,1.88,9.28,2,3.28,1.83,1.48,3.47
Turkey,Mediterranean region - Middle,0.68,2.29,0.49,6.67,3.55,0.14,9.18,0,2.18,0,1.48,2.42
Turkey,Mediterranean region - East ,0,1.4,0.14,7.59,4.04,0.41,9.22,0,1.9,0,0,2.24
Turkey,Central Anatolia - Middle,0,2.38,0.52,7.82,3.32,0.83,9.03,1,2.47,2.31,1.11,2.8
Turkey,Central Anatolia - East,0.34,1.73,0.68,8.62,3.49,1.19,9.49,0.33,2.07,0.24,1.85,2.73
Turkey,Western Black Sea - West,0.18,3.19,0.82,7.59,3.42,4.68,9.14,1.83,3.79,6.49,0.74,3.81
Turkey,Western Black Sea - Middle and East,0,5.68,0.64,7.01,3.9,4.13,8.83,0,3.05,3.15,3.33,3.61
Turkey,Middle Black Sea,0,4.34,0.54,7.36,3.79,3.3,9.45,0,2.13,2.23,2.22,3.21
Turkey,Eastern Black Sea,0,4.88,0.72,8.51,5.34,3.39,8.71,0,2.76,5.86,1.11,3.75
Turkey,Northeastern Anatolia - West,0.16,3.39,0.47,8.51,3.71,0.83,9.01,0,0.63,4.74,1.85,3.03
Turkey,Northeastern Anatolia - East,0,4.28,0.03,5.98,3.24,0,7.43,0.5,0,4.86,0.74,2.46
Turkey,Eastern Anatolia - West,0.89,3.4,0.33,7.7,4.76,0.23,8.71,0.5,2.13,0,1.48,2.74
Turkey,Eastern Anatolia - East,0,0,0,8.39,3.08,0,8.4,0,0,0.4,0,1.84
Turkey,Southeastern Anatolia - West ,0,1.99,0.11,6.9,3.4,0,8.75,0,0,0,0,1.92
Turkey,Southeastern Anatolia - Middle,0,0.12,0,6.55,4.61,0,8.75,0,0,0,0,1.82
Turkey,Southeastern Anatolia - East,0,0,0,8.16,5.14,0,9.26,0,0,0,0,2.05
United Kingdom,North East England,7.36,7.93,3.6,9.43,5.41,8.58,3.98,7.67,7.02,8.09,5.93,6.82
United Kingdom,North West England,7.75,8.41,3.91,8.51,5.7,6.93,4.56,9.17,6.9,9,6.3,7.01
United Kingdom,Yorkshire and The Humber,7.34,8.07,3.8,9.2,6.21,8.07,4.37,8.83,6.61,9.56,6.67,7.16
United Kingdom,East Midlands,7.66,8.4,3.99,9.31,6.79,8.26,5.09,8.83,6.87,9.24,6.67,7.38
United Kingdom,West Midlands,7.17,7.81,3.91,8.97,6.56,8.07,4.46,9.33,6.51,9.36,6.3,7.13
United Kingdom,East of England,7.49,9.28,4.87,9.31,7.78,6.1,5.3,9.33,6.6,9.08,6.67,7.44
United Kingdom,Greater London,8.82,8.37,6.69,8.74,8.65,6.47,4.87,9.67,4.71,8.41,5.93,7.39
United Kingdom,South East England,8.18,9.41,5.42,9.66,8.14,7.02,5.48,9.67,6.43,8.69,6.67,7.7
United Kingdom,South West England,8.11,9.31,4.52,9.43,7.87,7.11,5.71,9.33,6.95,9.12,7.04,7.68
United Kingdom,Wales,7.56,8.21,3.65,9.31,6.08,6.83,4.91,8.67,7.18,9.24,6.3,7.08
United Kingdom,Scotland,7.9,8.47,4.33,9.2,4.67,8.17,6.02,9.33,5.51,9.64,7.41,7.33
United Kingdom,Northern Ireland,7.06,7.7,3.6,8.97,6.16,8.44,3.35,8.17,5,9.28,7.04,6.8
United States,Alabama,9.22,6.65,7.64,0.92,0.99,7.02,8.44,5.02,10,9,8.52,6.67
United States,Alaska,10,7.08,10,0.8,3.97,8.58,9.08,7.95,6.84,8.73,6.3,7.21
United States,Arizona,8.89,7.12,7.83,3.68,5.81,6.79,9.49,7.52,7.76,7.25,6.67,7.16
United States,Arkansas,9.22,7.26,7.61,0.57,1.59,6.93,8.91,5.48,9.31,7.57,7.04,6.5
United States,California,8.31,7.6,10,5.17,7.07,5.37,9.82,7.9,5.4,8.53,8.52,7.61
United States,Colorado,9.57,9.26,10,5.98,6.05,8.26,10,8.15,8.74,8.69,8.52,8.47
United States,Connecticut,9.82,8.42,10,7.24,6.71,7.43,9.9,7.68,8.91,6.1,6.67,8.08
United States,Delaware,9.43,7.83,9.49,4.02,3.3,6.61,8.99,7.55,10,9.52,10,7.89
United States,District of Columbia,9.75,8.71,10,0,2.13,6.38,10,6.97,7.53,8.76,6.3,6.96
United States,Florida,9.2,7.3,8.87,4.71,5.87,7.84,9.75,7.2,8.33,8.53,7.04,7.69
United States,Georgia,9.2,7.57,8.01,2.76,3.22,7.06,9.24,7.12,8.79,7.45,7.04,7.04
United States,Hawaii,9.98,8.28,9.95,7.36,7.87,9.31,9.24,7.53,5.06,10,9.26,8.53
United States,Idaho,9.39,8.55,7.57,8.28,5.17,8.3,9.98,6.9,8.62,4.54,6.3,7.6
United States,Illinois,9.48,8.03,9.93,1.49,5.01,6.1,9.03,7.33,8.56,8.65,6.67,7.3
United States,Indiana,9.47,8.52,8.46,3.56,2.99,6.06,8.81,6.87,9.48,7.65,7.04,7.17
United States,Iowa,9.8,9.66,9.14,6.67,5.27,6.79,9.43,6.93,10,8.88,8.89,8.31
United States,Kansas,9.55,8.89,9.53,4.14,4.37,7.61,9.16,7.05,9.77,9.52,8.52,8.01
United States,Kentucky,9.55,6.79,7.6,3.68,1.07,7.2,8.28,6.55,9.6,7.53,7.41,6.84
United States,Louisiana,9.07,6.79,8.54,0,1.7,7.2,8.77,6.07,8.68,7.37,8.52,6.61
United States,Maine,10,8.5,8.65,8.51,4.13,8.58,10,7.12,10,7.65,6.3,8.13
United States,Maryland,9.59,8.83,10,0.11,4.93,6.7,9.47,7.97,9.31,9.48,8.52,7.72
United States,Massachusetts,9.73,8.76,10,7.59,6.33,7.75,10,7.92,8.56,9.28,7.04,8.45
United States,Michigan,9.84,7.58,8.53,3.91,3.83,6.61,9.22,7.08,10,10,6.67,7.57
United States,Minnesota,10,9.67,9.85,8.16,6.8,7.25,9.82,7.58,9.94,8.65,8.52,8.75
United States,Mississippi,9.14,6.21,7.03,1.03,0.38,7.25,8.91,5.45,9.08,9.6,8.15,6.57
United States,Missouri,9.68,8.38,8.44,0,3.27,7.16,9.32,6.88,9.94,5.78,7.78,6.97
United States,Montana,9.98,8.17,8.13,5.98,4.39,8.99,9.84,6.82,10,9.76,5.56,7.96
United States,Nebraska,9.54,9.72,9.69,7.93,5.49,7.34,9.61,7.27,9.83,5.94,10,8.39
United States,Nevada,8.57,7.49,8.5,0,4.11,8.3,9.32,7.15,7.18,8.05,6.3,6.82
United States,New Hampshire,10,9.74,10,9.31,5.18,8.12,10,8.07,10,10,6.67,8.83
United States,New Jersey,9.55,8.06,10,6.32,6.3,6.97,9.49,7.7,8.22,6.73,7.41,7.89
United States,New Mexico,8.93,6.18,7.56,2.3,4.43,8.9,8.56,5.95,8.56,8.21,7.41,7
United States,New York,9.22,7.55,10,7.24,6.77,7.06,9.1,7.28,7.41,8.33,7.41,7.94
United States,North Carolina,9.3,7.46,8.06,3.79,3.74,7.66,10,6.83,9.37,7.65,8.52,7.49
United States,North Dakota,10,9.94,10,8.97,5.1,8.53,8.95,7.23,10,6.33,10,8.64
United States,Ohio,9.82,7.68,8.65,3.45,3.14,5.96,9.55,7.15,10,9.8,6.3,7.41
United States,Oklahoma,9.29,7.52,9.02,3.33,1.55,7.43,8.58,6.53,8.79,7.81,7.04,6.99
United States,Oregon,9.36,7.98,8.54,7.59,5.23,8.94,10,7.82,8.1,7.33,7.04,7.99
United States,Pennsylvania,9.82,7.72,9.96,3.79,4.16,6.93,9.28,7.08,10,8.69,7.04,7.68
United States,Rhode Island,9.73,8.14,10,8.28,4.51,7.61,9.12,7.47,8.85,9.88,8.89,8.41
United States,South Carolina,9.32,7.12,7.65,1.49,2.83,7.34,9.22,6.5,9.66,5.22,9.63,6.91
United States,South Dakota,9.88,9.43,9.57,7.13,4.56,7.98,8.42,6.92,10,9.84,7.41,8.28
United States,Tennessee,9.52,7.58,8.63,1.49,1.79,7.34,8.03,6.45,9.37,8.76,8.52,7.04
United States,Texas,8.45,8.02,9.32,4.71,4.63,7.48,8.28,7.08,6.72,6.85,8.15,7.25
United States,Utah,9.5,9.51,7.82,7.7,5.75,8.03,9.55,7.9,7.01,8.96,7.41,8.1
United States,Vermont,9.96,9.37,9.92,7.93,4.63,8.44,9.26,7.18,10,9.4,10,8.74
United States,Virginia,9.59,8.37,10,4.37,5.08,7.43,9.96,7.57,9.37,7.69,8.52,7.99
United States,Washington,9.54,7.84,10,6.9,5.87,8.53,9.2,8.23,8.1,8.92,7.78,8.26
United States,West Virginia,9.63,5.76,7.23,5.06,0.76,7.57,7.68,6.03,10,7.93,6.3,6.72
United States,Wisconsin,9.91,9.4,9.15,6.78,5.46,7.02,10,7.22,10,8.29,7.78,8.27
United States,Wyoming,10,8.55,10,7.47,3.5,9.17,10,7.53,10,10,10,8.75
Jersey,Jersey,7.91,9.86,4.33,9.38,8.38,7.97,0.33,8.62,6.66,9.55,5.59,7.14
